hero_name,role
Anran,DPS
Ashe,DPS
Bastion,DPS
Cassidy,DPS
Echo,DPS
Emre,DPS
Freja,DPS
Genji,DPS
Hanzo,DPS
Junkrat,DPS
Mei,DPS
Pharah,DPS
Reaper,DPS
Sierra,DPS
Sojourn,DPS
Soldier: 76,DPS
Sombra,DPS
Symmetra,DPS
Torbjorn,DPS
Torbjörn,DPS
Tracer,DPS
Vendetta,DPS
Venture,DPS
Widowmaker,DPS
Ana,Support
Baptiste,Support
Brigitte,Support
Illari,Support
Jetpack Cat,Support
Juno,Support
Kiriko,Support
Lifeweaver,Support
Lucio,Support
Lúcio,Support
Mercy,Support
Mizuki,Support
Moira,Support
Wuyang,Support
Zenyatta,Support
D.Va,Tank
Domina,Tank
Doomfist,Tank
Hazard,Tank
Junker Queen,Tank
Mauga,Tank
Orisa,Tank
Ramattra,Tank
Reinhardt,Tank
Roadhog,Tank
Sigma,Tank
Thor,Tank
Winston,Tank
Wrecking Ball,Tank
Zarya,Tank
